anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2007,Andalucía,Córdoba,45433.0,656471.81,74010.0
2007,Andalucía,Granada,34439.0,578645.75,65766.0
2007,Andalucía,Huelva,26741.0,424794.4,45104.0
2007,Andalucía,Jaén,33794.0,520830.61,57017.0
2007,Andalucía,Málaga,28856.0,491221.07,57237.0
2007,Andalucía,Sevilla,50721.0,742815.31,85985.0
2007,Aragón,Huesca,,,
2007,Aragón,Teruel,,,
2007,Aragón,Zaragoza,46412.0,1334345.0,6975.0
2007,Canarias,Las Palmas,14757.0,437783.0,
2007,Canarias,Tenerife,12826.0,1396006.0,
2007,Cantabria,Cantabria,6863.0,108898.63,3787.0
2007,Castilla-La Mancha,Albacete,21295.0,533111.0,7563.0
2007,Castilla-La Mancha,Ciudad Real,32458.0,844590.0,6260.0
2007,Castilla-La Mancha,Cuenca,27198.0,636617.0,4888.0
2007,Castilla-La Mancha,Guadalajara,20305.0,607230.0,3015.0
2007,Castilla-La Mancha,Toledo,48199.0,1229356.0,8372.0
2007,Castilla y León,Ávila,3222.0,84996.5,
2007,Castilla y León,Burgos,4468.0,117476.8,
2007,Castilla y León,León,6243.0,159152.3,
2007,Castilla y León,Palencia,3801.0,95823.3,
2007,Castilla y León,Salamanca,6263.0,161790.5,
2007,Castilla y León,Segovia,1973.0,52725.5,
2007,Castilla y León,Soria,2332.0,67273.8,
2007,Castilla y León,Valladolid,3469.0,81389.6,
2007,Castilla y León,Zamora,3626.0,88207.4,
2007,Cataluña,Barcelona,40652.0,770975.6,
2007,Cataluña,Gerona,14503.0,292405.0,
2007,Cataluña,Lérida,13001.0,259155.0,
2007,Cataluña,Tarragona,11938.0,238115.4,
2007,Madrid,Madrid,26631.0,,11646.0
2007,Navarra,Navarra,25556.0,306672.0,
2007,Extremadura,Badajoz,57882.0,2334019.0,25445.0
2007,Extremadura,Cáceres,57882.0,2334018.99,25445.0
2007,Galicia,La Coruña,16682.0,,
2007,Galicia,Orense,11329.0,,
2007,Baleares,Baleares,17570.0,236843.6,8472.0
2007,La Rioja,La Rioja,10889.0,246437.0,3068.0
2007,País Vasco,Álava,,,
2007,País Vasco,Guipúzcoa,19787.0,196547.0,
2007,Asturias,Asturias,8502.0,,13336.0
2007,Murcia,Murcia,10463.0,250538.0,4786.0
2006,Castilla-La Mancha,Albacete,20547.0,483411.0,6589.0
2006,C. Valenciana,Alicante,17083.0,169122.0,1731.0
2006,Andalucía,Almería,47124.0,767725.0,46050.0
2006,País Vasco,Álava,7763.0,71393.0,0.0
2006,Asturias,Asturias,5997.0,212983.35,8156.0
2006,Castilla y León,Ávila,3666.0,96011.0,0.0
2006,Extremadura,Badajoz,31612.0,0.0,0.0
